Час (UTC),Широта (град.),Довгота (град.),Висота (м),Температура (°C),Точка роси (°C),Відносна вологість (%),Тиск (hPa),Міксинг-співвідношення (g/kg),Потенційна темп. (K),Еквівалентна пот. темп. (K),Віртуальна темп. (K)
2025-05-27 06:00:00,50.45,30.523,0.0,17.75004343420107,13.522551259548042,76.27014579291075,1015.6444081583253,9.630543979891204,289.61140805083437,323.8582729939854,292.6089740880487
2025-05-27 06:00:05,50.450002000000005,30.522999,5.008347245409015,18.015364328136975,14.626135558269716,80.57138775644032,1014.2436661632557,10.371517798378925,289.9899940448841,327.0463635009632,293.0074586507614
2025-05-27 06:00:10,50.450004,30.522998,10.01669449081803,18.78881401818363,16.641969048269655,87.33862777782355,1012.358968653846,11.851166604449812,290.91503201587096,333.6454568578469,294.049301487357
2025-05-27 06:00:15,50.450006,30.522997,15.025041736227045,17.32798614419079,15.09596168038162,86.72889076013752,1013.3326797292993,10.705682362060452,289.3797512891377,327.7213400089481,292.3749428264175
2025-05-27 06:00:20,50.450008000000004,30.522996,20.03338898163606,17.98657571272123,14.518330806192875,80.15726049936931,1014.3648578428006,10.297093600936421,289.9514132494337,326.7246502234977,292.96527066089095
2025-05-27 06:00:25,50.450010000000006,30.522994999999998,25.041736227045078,17.55479112156508,12.870712469409305,73.99787000760222,1010.1558203468577,9.274146904719025,289.8658918571105,322.8282622731733,292.34937487421297
2025-05-27 06:00:30,50.450012,30.522994,30.05008347245409,17.440823506344167,13.746057373590203,78.91275803500582,1011.4902559271824,9.81463243409256,289.6428742573636,324.6255136374285,292.33056920041946
2025-05-27 06:00:35,50.450014,30.522993,35.05843071786311,17.338875414844466,13.578224818522305,78.56043525045571,1010.1525267701733,9.719437361671853,289.6508693252274,324.2884946195356,292.2111423564473
2025-05-27 06:00:40,50.450016000000005,30.522992,40.06677796327212,17.74954590955893,13.904796178490523,78.19238618428591,1009.7855824773783,9.935023675164963,290.0904969028116,325.54238408955763,292.6625031737397
2025-05-27 06:00:45,50.450018,30.522991,45.075125208681136,18.19964060547666,16.183159894527613,88.01453788565907,1009.4566504706179,11.537235615286098,290.5664129550651,332.1276327564797,293.40007597003415
2025-05-27 06:00:50,50.45002,30.52299,50.083472454090156,18.035127900145376,14.286823557026581,78.72494186436585,1008.842170096248,10.197968084901275,290.4529199077452,326.90732676860426,292.99652085123074
2025-05-27 06:00:55,50.450022000000004,30.522989,55.09181969949917,17.69321877446688,12.845304606583232,73.23239081129265,1005.6297436009645,9.300796401750485,290.37661809914897,323.48053812606,292.493313647684
2025-05-27 06:01:00,50.450024000000006,30.522987999999998,60.10016694490818,17.686321812243655,13.6339048709297,77.13438492714076,1008.6229713692111,9.770305836875984,290.1230209612943,324.9651065079083,292.56967329791604
2025-05-27 06:01:05,50.450026,30.522987,65.1085141903172,17.427762296951048,12.80039993329455,74.25135697856334,1007.4611177839357,9.25597090661313,289.96066223068925,322.8808236957612,292.21840567844794
2025-05-27 06:01:10,50.450028,30.522986,70.11686143572622,16.935811786642134,12.40363933602574,74.63254086726901,1006.369392238287,9.024640744921893,289.5595318368171,321.6259101802127,291.68274313095196
2025-05-27 06:01:15,50.450030000000005,30.522985,75.12520868113523,17.642815812281203,12.975674124191144,74.09507419507266,1005.3181370883075,9.384642099824905,290.35203000256314,323.77421406652496,292.45749757825627
2025-05-27 06:01:20,50.450032,30.522984,80.13355592654425,17.084784632558613,13.341429228411904,78.61182091540778,1004.8360670732179,9.619731528666414,289.8346001908838,324.1501285385424,291.9378928647104
2025-05-27 06:01:25,50.450034,30.522983,85.14190317195326,17.512839298763218,13.308159911170659,76.34582907811134,1002.7267913315079,9.619058519587657,290.4365589172339,324.7672960639663,292.3683400437806
2025-05-27 06:01:30,50.450036000000004,30.522982,90.15025041736227,18.041340207308668,15.595221743255452,85.61454947265422,1002.6964445671238,11.180121215765006,290.96716690365344,331.2356242866751,293.17722844041293
2025-05-27 06:01:35,50.450038000000006,30.522980999999998,95.1585976627713,16.458096463469005,13.131955380435928,80.69309401088324,1000.7115801114007,9.526796216535358,289.54918471861964,323.5586207179582,291.29110922724533
2025-05-27 06:01:40,50.45004,30.52298,100.16694490818031,17.27080729183308,15.075147031591257,86.9266601329228,1002.9015917181904,10.804235686923052,290.18024872660914,329.01266277288096,292.33484995055716
2025-05-27 06:01:45,50.450042,30.522979,105.17529215358933,16.461849271070314,11.778674051271665,73.81302669179834,1001.557077918209,8.697812724381624,289.4830070545653,320.3732879158832,291.1484329439805
2025-05-27 06:01:50,50.450044000000005,30.522978,110.18363939899834,16.338103766961908,13.436672895857635,82.94518784531934,1000.8319580000765,9.719922141530928,289.41925979538786,324.15757821550403,291.2045228829656
2025-05-27 06:01:55,50.450046,30.522977,115.19198664440735,17.71090906508875,14.386058752002292,80.8667306278272,1000.5167874532242,10.351596403732826,290.8179337498911,327.9455505877881,292.69754265665017
2025-05-27 06:02:00,50.450048,30.522976,120.20033388981636,16.35926321279447,13.204717910068162,81.58947398822698,999.7321686565158,9.582398839688537,289.5314433739913,323.7609166342534,291.20152108180696
2025-05-27 06:02:05,50.450050000000005,30.522975,125.20868113522539,17.57905225243681,13.178389561820428,75.38604432526614,1000.6609865564532,9.556670098759772,290.67411555288555,324.78927847403236,292.42387725314273
2025-05-27 06:02:10,50.450052,30.522974,130.2170283806344,16.45662329528938,12.486287302790878,77.35914254101434,998.1818841578719,9.1500079396132,289.7573895660204,322.37239519093066,291.22306406582436
2025-05-27 06:02:15,50.450054,30.522973,135.22537562604342,17.939433805092687,13.97088631657672,77.59483821606969,998.469395623389,10.09335473833468,291.21698459048116,327.38257894268304,292.88165584383785
2025-05-27 06:02:20,50.450056000000004,30.522972,140.23372287145244,17.944179679351222,14.579653313493946,80.69051879749584,996.6483324815138,10.525545551426942,291.3738187358256,329.2042347263858,292.9631739586131
2025-05-27 06:02:25,50.450058000000006,30.522971,145.24207011686144,17.28325817759653,15.064716540655928,86.79992525491467,996.6553615454059,10.865707979096296,290.71167593597147,329.84904276429427,292.3582735897694
2025-05-27 06:02:30,50.45006,30.52297,150.25041736227047,16.76551823750831,14.473747457321032,86.34116286087351,995.3470818778412,10.466440428496929,290.3024772002982,327.9308335217935,291.7664921730754
2025-05-27 06:02:35,50.450062,30.522969,155.25876460767947,17.210016349261604,13.288507966157182,77.72200126527127,993.7553643773787,9.69462017121422,290.8806815906352,325.5877373470544,292.0771236928239
2025-05-27 06:02:40,50.450064000000005,30.522968,160.2671118530885,16.354067873264196,13.201945943127537,81.60171728233408,993.8687573155909,9.638035530749823,290.0137342807623,324.5113498745107,291.2061206736642
2025-05-27 06:02:45,50.450066,30.522967,165.27545909849752,16.458154673714702,14.389415047273047,87.56652861296182,993.730379607966,10.425775970218867,290.12955790709884,327.6225566216429,291.4499824149785
2025-05-27 06:02:50,50.450068,30.522966,170.28380634390652,17.417183599384188,13.154336252548386,76.04119606298593,992.4238488330376,9.62185756287885,291.199863405737,325.6433927444164,292.27261919173867
2025-05-27 06:02:55,50.450070000000004,30.522965,175.29215358931555,17.116561800331766,14.533563389801667,84.76688629819674,992.7521634201514,10.535601414896487,290.87106957912505,328.78906611217457,292.1320228078442
2025-05-27 06:03:00,50.450072000000006,30.522963999999998,180.30050083472455,17.03453568268231,12.036222577603242,72.39530268850325,992.1077705334244,8.934440499339582,290.8428777654831,322.7010171635058,291.7660439280924
2025-05-27 06:03:05,50.450074,30.522963,185.30884808013357,16.241173423390865,11.384663488498187,72.93308324400456,990.7056132069683,8.56513824034743,290.16506160450774,320.6562682331021,290.9031654209945
2025-05-27 06:03:10,50.450076,30.522962,190.3171953255426,16.94920734661658,13.21625028425786,78.64535402904541,990.7066764739329,9.67845123606997,290.87489966469127,325.55299774663314,291.81191107609186
2025-05-27 06:03:15,50.450078000000005,30.522961,195.3255425709516,16.116762165764055,14.06214367849935,87.61602791808653,990.2048985110038,10.240418445240302,290.0822559920352,326.9081685878013,291.07371190475914
2025-05-27 06:03:20,50.45008,30.52296,200.33388981636062,16.9017655307893,14.52180956660463,85.8638990451422,989.4574965891296,10.563115623811575,290.932293320894,328.993456154328,291.9207142358666
2025-05-27 06:03:25,50.450082,30.522959,205.34223706176962,16.432654234120875,13.02918111342973,80.28285481449625,988.8963603915307,9.576841516901654,290.5088865150263,324.82367174926935,291.27435941736366
2025-05-27 06:03:30,50.450084000000004,30.522958,210.35058430717865,16.50072546080371,12.871799431534166,79.11686004121273,988.2395706751686,9.483640988745114,290.63239447851925,324.60043984858345,291.3263609911676
2025-05-27 06:03:35,50.450086000000006,30.522956999999998,215.35893155258768,16.48167915339494,13.938862272689605,84.91933531524727,988.7500842032174,10.172681723766248,290.570361389662,327.15052946093886,291.42894099577495
2025-05-27 06:03:40,50.450088,30.522956,220.36727879799668,16.74527162346373,12.536697974927026,76.20372007357086,988.3213575315038,9.273748895271916,290.8708849073152,324.0434800276873,291.5352053559909
2025-05-27 06:03:45,50.45009,30.522955,225.3756260434057,16.872706575285154,12.394415468089294,74.88657681212364,989.1540968526183,9.178378798969224,290.928662475605,323.7328745833483,291.6464889146478
2025-05-27 06:03:50,50.450092000000005,30.522954,230.3839732888147,16.376029393727258,14.15851276854409,86.7194150656223,987.7166494827983,10.33205836830639,290.5512547473098,327.7517007524969,291.35078329297966
2025-05-27 06:03:55,50.450094,30.522953,235.39232053422373,17.186998651347388,14.896841352256514,86.39130656262351,986.1249636111633,10.863618222433539,291.49952032216777,330.7487646072832,292.2610059399566
2025-05-27 06:04:00,50.450096,30.522952,240.40066777963273,16.0889526949888,13.016192859957993,81.99213043102986,983.2548598699617,9.624336780311655,290.63925743260495,325.19278459531546,290.93702988032874
2025-05-27 06:04:05,50.450098000000004,30.522951,245.40901502504175,16.53555901842027,13.694984249581122,83.29801875883834,984.4897492617383,10.05418154289943,290.9835534730347,327.1563973828597,291.462215250864
2025-05-27 06:04:10,50.450100000000006,30.522949999999998,250.41736227045078,15.289815733836555,10.543456591477485,73.29863300210525,984.1000594297842,8.148488010134235,289.7650364993085,318.7614812736053,289.8735282457296
2025-05-27 06:04:15,50.450102,30.522949,255.42570951585978,15.000378521789818,10.600750853361387,74.961646447185,984.2342232658002,8.178945671250801,289.4629836374805,318.57336997058206,289.5880059593486
2025-05-27 06:04:20,50.450104,30.522948,260.4340567612688,16.03053840924199,11.518450805311598,74.57777645343887,982.7786232595769,8.713071229550062,290.62082505097595,321.7384698359736,290.7175252931512
2025-05-27 06:04:25,50.450106000000005,30.522947,265.4424040066778,15.809575249572788,13.583291202920268,86.6157034607028,979.4833079042437,10.032037302000663,290.6778484942474,326.8243454543253,290.7278757245539
2025-05-27 06:04:30,50.450108,30.522946,270.45075125208683,14.896160550556132,12.529204315214908,85.73238545393096,980.1152749130697,9.347893392175566,289.70555563702663,323.24986665069986,289.68866167907595
2025-05-27 06:04:35,50.45011,30.522945,275.45909849749586,16.520385246938844,11.916970521466133,74.21269901943349,981.1632382468622,8.963775669820754,291.2501074823867,323.32300104723845,291.2542748613808
2025-05-27 06:04:40,50.450112000000004,30.522944,280.4674457429049,16.038618449426,12.681880821875911,80.47518157054226,981.0912576633334,9.433878852631757,290.77181440079346,324.62488380013787,290.8528023885532
2025-05-27 06:04:45,50.450114000000006,30.522942999999998,285.47579298831386,15.572450533000506,11.098871302296,74.69040261975437,979.5990338417777,8.498758669112958,290.4295002769693,320.7737087292545,290.21925781495577
2025-05-27 06:04:50,50.450116,30.522942,290.4841402337229,15.671193286384533,12.71591312300252,82.57296129017196,979.5273361375042,9.470594506884714,290.5349086460341,324.54509741218465,290.4897314144166
2025-05-27 06:04:55,50.450118,30.522941,295.4924874791319,15.63618494033455,10.756042529761217,72.71007925025104,977.8438277493991,8.319837935645612,290.6426447464753,320.3313636675555,290.25180403695623
2025-05-27 06:05:00,50.450120000000005,30.52294,300.50083472454094,15.722314961534357,13.490987123027644,86.57883388677232,974.2580960200577,10.025288160131645,291.0349534282516,327.2116327333824,290.6388921629083
2025-05-27 06:05:05,50.450122,30.522939,305.50918196994996,16.112537955430327,13.079193959293647,82.2066387180307,979.1970519191786,9.70534977910518,291.0069388273793,325.90920053710505,290.97504836182827
2025-05-27 06:05:10,50.450124,30.522938,310.51752921535893,15.491193803791058,13.200079677333008,86.2193006262295,977.6161210366029,9.799577268998913,290.51607143165273,325.79766838548795,290.3666164296258
2025-05-27 06:05:15,50.450126000000004,30.522937,315.52587646076796,15.835403007543734,11.806740699359949,76.96637124464004,973.8219578541534,8.965932806109524,291.18617500590165,323.34023123964823,290.5659274677841
