Час (UTC),Широта (град.),Довгота (град.),Висота (м),Температура (°C),Тиск (hPa),Точка роси (°C),Відносна вологість (%),Міксинг-співвідношення (g/kg),v_true
2025-05-27 06:00:00,50.45000107514702,30.522992664583406,4.247521523188928,17.639290210992968,1014.2871525332782,15.033844437025385,84.70074289176424,10.652032385263672,1.0027588966981036
2025-05-27 06:00:05,50.45000944202334,30.523004018109123,8.734073750517302,17.113232354368485,1018.0866317683709,14.430017593799196,84.21910754196925,10.19946504024167,1.0027588966981036
2025-05-27 06:00:10,50.45000502042827,30.522994455248504,-3.0852758767270636,18.624049441186852,1015.2315470507514,15.301085521102094,80.9968440374915,10.829630651700752,1.0027588966818948
2025-05-27 06:00:15,50.45000361957858,30.52298498679773,30.822155031895978,18.75167782880982,1012.1905856760695,14.032827797828773,74.03575449784185,9.995074930413075,1.0027588966811598
2025-05-27 06:00:20,50.450002615938956,30.522998362497827,11.612384127347765,16.62948246838954,1015.37386078693,13.671685762046383,82.67645734053161,9.728591330896297,1.0027588966726881
2025-05-27 06:00:25,50.4500108537915,30.522986005536342,26.474906676876184,17.99055756579986,1011.5733243283431,14.464466976786937,79.85863037717286,10.289495401646132,1.0027588966642162
2025-05-27 06:00:30,50.45001945987512,30.522995820540263,24.01131689061885,18.037874678745837,1010.9253585288352,14.605984393625114,80.35273557487251,10.392371613730539,1.0027588966480068
2025-05-27 06:00:35,50.45001087558878,30.523000536976998,51.207448249032225,17.577770325307526,1009.260288166936,12.735013391809467,73.23676930903848,9.19914645276704,1.0027588966472731
2025-05-27 06:00:40,50.45001586318323,30.522995103448295,30.72850435854616,17.447112291241854,1010.3934252423419,12.63817509298235,73.37629568852141,9.129674489659982,1.0027588966388
2025-05-27 06:00:45,50.45001828917525,30.52298630095088,50.15619901365574,19.18445116013634,1007.4937644664818,16.965691942029167,86.97688294517579,12.161678600855842,1.002758896622591
2025-05-27 06:00:50,50.45001066927954,30.522991194452295,33.344277479114346,17.415827010979285,1007.0334170455343,12.516043939031576,72.93470155701141,9.086401856744375,1.0027588966218575
2025-05-27 06:00:55,50.45002132223168,30.522992021484047,57.13490974156185,17.119787711319876,1005.9786776719097,12.69347466597277,75.1837860290705,9.20413477037501,1.0027588966133842
2025-05-27 06:01:00,50.45002197551845,30.52298670235297,70.47725984915577,18.9157288186413,1008.7563693438163,16.341516341369108,85.00707425072565,11.66476240263188,1.0027588966049124
2025-05-27 06:01:05,50.45001944152787,30.52299511008006,60.984506170203545,18.8299336179913,1005.9416421586188,14.021626857145971,73.62077226409623,10.050744221899048,1.0027588965887035
2025-05-27 06:01:10,50.450023699599335,30.52299356403254,67.86050814797079,18.37772609839919,1004.8583138683557,14.22560015650572,76.74380308885823,10.197883446600068,1.0027588965879715
2025-05-27 06:01:15,50.45003103233918,30.52299178439639,74.64668343409154,17.142543223096542,1008.8137142022609,14.299080831161245,83.35367203841352,10.206489596031608,1.0027588965794967
2025-05-27 06:01:20,50.45003462587788,30.52298339953314,81.24257411398325,16.910120926183517,1004.1775669313031,14.390914505185906,85.09510411768873,10.316527519197816,1.0027588965632879
2025-05-27 06:01:25,50.450031052004675,30.522984089042996,97.40867009424184,17.624382380800597,1004.5573657386683,14.652475553765399,82.72146102878885,10.49133583041737,1.002758896562553
2025-05-27 06:01:30,50.45003802775204,30.522983867746053,83.86584933078909,19.12798598687647,1005.5068014802648,16.866326120084548,86.73518894562476,12.108107347973172,1.002758896554081
2025-05-27 06:01:35,50.45003673761178,30.52297329643994,81.87738143876817,20.404354398485584,1001.3798266806236,18.266719521432925,87.53426690526915,13.306914194808739,1.0027588965456118
2025-05-27 06:01:40,50.450046538068555,30.522976458021475,108.83427405145768,18.23786398564443,1006.083915104174,15.102920827415788,81.93198906967095,10.789066861730898,1.0027588965294003
2025-05-27 06:01:45,50.450045350031175,30.52298754086541,97.75412168533303,16.72720014920677,1003.8552522054845,12.777418227709264,77.50504964276689,9.275532267301942,1.0027588965286651
2025-05-27 06:01:50,50.450042398558196,30.522984001145375,117.59378706634332,17.513449053939546,1003.2576468707633,15.099810946672402,85.73948260814265,10.817786995945863,1.0027588965201932
2025-05-27 06:01:55,50.45004220838017,30.52297975701618,131.2000330359989,15.391392787095624,998.716789703276,10.589152408817094,73.04418923658422,8.052497544246158,1.0027588965039846
2025-05-27 06:02:00,50.45004845953834,30.522981341614614,107.06300275232532,16.793166394845247,997.1505506789987,13.298414952996353,79.855171767148,9.66744252475324,1.0027588965032495
2025-05-27 06:02:05,50.450047441632286,30.52296994025629,142.04752327168688,18.544321680589714,1000.7765987769037,16.274436917193427,86.63447693310164,11.708411924671458,1.0027588964947804
2025-05-27 06:02:10,50.450049931278805,30.522974940199884,124.81552781942294,17.306702077546507,1000.1668058395747,13.014307567736784,75.87667662526971,9.457939026035211,1.002758896478566
2025-05-27 06:02:15,50.45005546984727,30.522970492982974,136.1834757845898,17.35996357496787,997.7627334774759,12.88238359988872,74.97164586361686,9.398365089917702,1.0027588964778367
2025-05-27 06:02:20,50.45005899370777,30.522975344587756,140.02564410250687,17.530877132021566,998.0176605436291,14.43804312812517,82.06615054763303,10.413490263229637,1.0027588964693648
2025-05-27 06:02:25,50.450056929723345,30.522969197527672,140.36474776754588,16.580718939742905,995.5269305026363,14.452681892299026,87.24244591486988,10.450034989122521,1.0027588964608871
2025-05-27 06:02:30,50.450060285390954,30.522966883921782,140.64439021647132,18.24671082982787,995.3438604839299,13.620705385528893,74.39740985467111,9.89409086684745,1.0027588964446843
2025-05-27 06:02:35,50.45005497780652,30.522970757184044,159.11909880493076,16.513375162739514,994.7276626479593,12.302500527431349,76.15494611504286,9.070424049966828,1.0027588964439433
2025-05-27 06:02:40,50.450062942789565,30.522963397534372,159.76011740266668,16.51883866746749,992.1486964587642,12.701117801227976,78.14706145394288,9.339108652214405,1.0027588964354772
2025-05-27 06:02:45,50.45007124312702,30.522972250787888,171.22075750861404,18.400765924450443,991.973950240328,13.8800861081339,74.9346113155084,10.0998308825272,1.0027588964192686
2025-05-27 06:02:50,50.45006818740501,30.52295672995231,175.70027843994475,16.7473909574671,991.4025097407307,12.1890123677621,74.47209564304593,9.032613948865485,1.002758896418528
2025-05-27 06:02:55,50.450071526821446,30.522969972267536,183.54833169329316,15.966434758852618,992.7977793366194,13.15282491158608,83.37756585910834,9.617213380938788,1.0027588964100616
2025-05-27 06:03:00,50.450069620907186,30.52297463976962,175.624610794363,16.84287549391503,994.9866722224857,12.432080056596977,75.21439435542423,9.146723218354543,1.002758896401584
2025-05-27 06:03:05,50.45007373439832,30.52295904682347,179.9374401850086,15.59007219306601,991.5583857985602,12.349631375503499,81.03156907538398,9.128493617882425,1.002758896385381
2025-05-27 06:03:10,50.45007408894537,30.522949643797144,185.54304170122305,18.38508199235558,995.2322299908931,16.2647148196806,87.44953485549647,11.767438464829862,1.0027588963846459
2025-05-27 06:03:15,50.450078602166435,30.522957102969038,195.30092978472317,17.30095196765943,989.9047916868487,12.620544310889471,73.97189741649852,9.310534618444308,1.0027588963761684
2025-05-27 06:03:20,50.45008446888635,30.522960138311777,195.9985750363487,18.199804590312464,988.946242626332,13.384750286268853,73.47879819524775,9.804820475592074,1.0027588963599654
2025-05-27 06:03:25,50.45009576229916,30.522962265559013,208.57219313724062,17.34827175736995,989.2067885375017,13.981220294965453,80.59764175196771,10.196362257407545,1.0027588963592247
2025-05-27 06:03:30,50.45009246999323,30.522955081805204,195.19953498936894,16.643846137294265,988.0535897165363,12.529367906062955,76.65961997518302,9.271771180446255,1.0027588963507585
2025-05-27 06:03:35,50.45009133123279,30.522950043873827,201.77002242644622,16.967813066977666,986.1966229593996,13.247746852610291,78.71427847578104,9.743730545084077,1.0027588963422867
2025-05-27 06:03:40,50.45007924056611,30.522953760818652,217.77386011125319,16.808153398809573,984.2009792076559,13.837303851325435,82.62806649337922,10.152185631339382,1.002758896326072
2025-05-27 06:03:45,50.45008815395164,30.52295523685431,221.80394638032166,15.701079280166656,986.0224223958415,12.008088653206443,78.66882692563073,8.973484469747149,1.0027588963253429
2025-05-27 06:03:50,50.450083191496645,30.52295130629488,232.2476436439854,16.77905299977211,986.7228126436776,14.034024130841042,83.84493596657714,10.258115948598704,1.0027588963168652
2025-05-27 06:03:55,50.45010086243608,30.52294531123824,236.7422496969226,17.574672738638878,983.8931431757575,13.789558218585482,78.47005956390541,10.123441124359822,1.0027588963006622
2025-05-27 06:04:00,50.45009506320678,30.52295552140997,239.9329304971393,18.00595075454619,983.5255725951773,14.557050685399197,80.26016582715665,10.652558470539454,1.0027588962999214
2025-05-27 06:04:05,50.45009170283881,30.522955681997328,227.29202729081865,17.614382151274427,983.9044625459713,13.356542886232168,76.09776049056983,9.837460629790812,1.0027588962914553
2025-05-27 06:04:10,50.45009852697201,30.522940567198564,251.31369026788366,15.959287698299354,986.5169729544273,13.163443408817313,83.47353467333873,9.686215849435339,1.0027588962829834
2025-05-27 06:04:15,50.4501057583241,30.522948951046075,247.0438377087104,17.49869100472024,981.0723898606831,14.38608427059085,81.95722532999987,10.560261198575454,1.0027588962667688
2025-05-27 06:04:20,50.450103503665105,30.52294300046379,258.26403169987486,16.6637050468159,986.1255326445166,12.548522278301418,76.65921096218636,9.30203133071804,1.0027588962660339
